,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM
234,10.991,20.15,52.52,40.91,16.49,54.96,32.36,18.93,41.52,33.59,28.09,58.01,47.63,32.36,20.15,45.19,22.6,14.65,10.991,41.52,10.991,20.15,52.52,40.91,16.49,54.96,32.36,18.93,41.52,33.59,28.09,58.01,47.63,32.36,20.15,45.19,22.6,14.65,10.991,41.52
235,11.601,20.76,52.52,40.91,16.49,55.57,31.75,18.93,42.13,33.59,28.09,58.63,47.63,32.36,20.76,45.19,22.6,15.26,11.601,42.13,11.601,20.76,52.52,40.91,16.49,55.57,31.75,18.93,42.13,33.59,28.09,58.63,47.63,32.36,20.76,45.19,22.6,15.26,11.601,42.13
236,10.991,20.15,53.13,40.3,16.49,55.57,31.75,18.93,42.13,33.59,28.09,58.63,47.02,31.75,20.15,46.41,22.6,14.65,10.991,42.13,10.991,20.15,53.13,40.3,16.49,55.57,31.75,18.93,42.13,33.59,28.09,58.63,47.02,31.75,20.15,46.41,22.6,14.65,10.991,42.13
237,11.601,20.15,53.13,40.91,16.49,55.57,31.75,18.93,42.13,34.2,27.48,59.24,46.41,31.75,20.15,46.41,22.6,14.65,11.601,42.13,11.601,20.15,53.13,40.91,16.49,55.57,31.75,18.93,42.13,34.2,27.48,59.24,46.41,31.75,20.15,46.41,22.6,14.65,11.601,42.13
238,10.991,20.76,52.52,40.91,15.88,56.18,31.14,18.93,41.52,33.59,28.09,59.24,47.02,31.14,20.15,45.8,21.99,15.26,10.991,41.52,10.991,20.76,52.52,40.91,15.88,56.18,31.14,18.93,41.52,33.59,28.09,59.24,47.02,31.14,20.15,45.8,21.99,15.26,10.991,41.52
239,11.601,20.76,53.13,40.3,15.88,55.57,31.14,18.93,42.13,34.2,28.09,59.24,46.41,31.75,19.54,46.41,22.6,15.26,11.601,42.13,11.601,20.76,53.13,40.3,15.88,55.57,31.14,18.93,42.13,34.2,28.09,59.24,46.41,31.75,19.54,46.41,22.6,15.26,11.601,42.13
240,11.601,20.76,53.74,40.91,15.88,55.57,30.53,18.93,42.13,34.2,27.48,59.24,47.02,31.14,19.54,47.02,21.99,15.26,11.601,42.13,11.601,20.76,53.74,40.91,15.88,55.57,30.53,18.93,42.13,34.2,27.48,59.24,47.02,31.14,19.54,47.02,21.99,15.26,11.601,42.13
241,11.601,20.76,53.74,40.91,15.88,55.57,30.53,18.93,42.13,34.81,28.09,59.24,45.8,31.14,19.54,47.02,22.6,15.87,11.601,42.13,11.601,20.76,53.74,40.91,15.88,55.57,30.53,18.93,42.13,34.81,28.09,59.24,45.8,31.14,19.54,47.02,22.6,15.87,11.601,42.13
242,11.601,20.76,53.74,40.91,15.88,55.57,30.53,18.93,42.13,34.2,27.48,58.63,45.8,31.14,19.54,47.02,21.99,15.87,11.601,42.13,11.601,20.76,53.74,40.91,15.88,55.57,30.53,18.93,42.13,34.2,27.48,58.63,45.8,31.14,19.54,47.02,21.99,15.87,11.601,42.13
243,10.991,21.37,53.74,41.52,15.88,56.18,30.53,18.32,42.13,34.2,27.48,59.24,45.8,30.53,18.93,47.02,22.6,16.48,10.991,42.13,10.991,21.37,53.74,41.52,15.88,56.18,30.53,18.32,42.13,34.2,27.48,59.24,45.8,30.53,18.93,47.02,22.6,16.48,10.991,42.13
244,11.601,21.37,53.74,41.52,15.27,56.18,30.53,18.93,42.13,34.81,28.09,58.63,45.8,31.14,18.93,47.02,21.99,17.09,11.601,42.13,11.601,21.37,53.74,41.52,15.27,56.18,30.53,18.93,42.13,34.81,28.09,58.63,45.8,31.14,18.93,47.02,21.99,17.09,11.601,42.13
245,11.601,21.37,53.74,41.52,15.88,56.18,29.92,18.93,42.74,34.81,28.09,58.63,46.41,30.53,18.32,47.02,21.37,17.09,11.601,42.74,11.601,21.37,53.74,41.52,15.88,56.18,29.92,18.93,42.74,34.81,28.09,58.63,46.41,30.53,18.32,47.02,21.37,17.09,11.601,42.74
246,11.601,21.98,53.74,41.52,16.49,56.18,29.92,19.54,42.74,34.81,27.48,58.63,45.8,29.92,18.93,47.02,21.37,16.48,11.601,42.74,11.601,21.98,53.74,41.52,16.49,56.18,29.92,19.54,42.74,34.81,27.48,58.63,45.8,29.92,18.93,47.02,21.37,16.48,11.601,42.74
247,12.211,21.98,53.74,41.52,15.88,55.57,29.92,19.54,42.74,34.2,27.48,58.01,45.8,30.53,18.32,47.64,21.99,17.09,12.211,42.74,12.211,21.98,53.74,41.52,15.88,55.57,29.92,19.54,42.74,34.2,27.48,58.01,45.8,30.53,18.32,47.64,21.99,17.09,12.211,42.74
248,10.991,21.98,53.74,41.52,16.49,56.79,28.7,19.54,42.74,34.2,28.09,58.63,45.8,29.92,18.32,47.02,21.99,17.09,10.991,42.74,10.991,21.98,53.74,41.52,16.49,56.79,28.7,19.54,42.74,34.2,28.09,58.63,45.8,29.92,18.32,47.02,21.99,17.09,10.991,42.74
249,12.211,21.98,54.35,41.52,15.88,56.18,29.31,19.54,43.35,34.81,28.09,59.24,45.8,29.92,18.32,47.02,21.37,17.7,12.211,43.35,12.211,21.98,54.35,41.52,15.88,56.18,29.31,19.54,43.35,34.81,28.09,59.24,45.8,29.92,18.32,47.02,21.37,17.7,12.211,43.35
250,11.601,21.98,53.74,41.52,15.88,56.18,29.31,19.54,42.74,34.81,27.48,58.63,45.8,30.53,18.32,45.19,21.37,17.09,11.601,42.74,11.601,21.98,53.74,41.52,15.88,56.18,29.31,19.54,42.74,34.81,27.48,58.63,45.8,30.53,18.32,45.19,21.37,17.09,11.601,42.74
251,11.601,21.37,53.74,41.52,15.88,56.18,28.7,19.54,43.35,35.42,27.48,58.63,45.19,29.92,17.71,45.19,21.37,17.7,11.601,43.35,11.601,21.37,53.74,41.52,15.88,56.18,28.7,19.54,43.35,35.42,27.48,58.63,45.19,29.92,17.71,45.19,21.37,17.7,11.601,43.35
252,12.211,21.37,54.35,40.91,15.88,56.79,28.7,19.54,43.35,34.81,28.09,59.24,44.58,30.53,17.71,45.19,21.37,17.7,12.211,43.35,12.211,21.37,54.35,40.91,15.88,56.79,28.7,19.54,43.35,34.81,28.09,59.24,44.58,30.53,17.71,45.19,21.37,17.7,12.211,43.35
253,11.601,21.37,54.35,40.91,15.88,56.18,28.7,20.15,43.35,35.42,28.09,59.24,44.58,29.92,17.71,45.8,21.37,17.7,11.601,43.35,11.601,21.37,54.35,40.91,15.88,56.18,28.7,20.15,43.35,35.42,28.09,59.24,44.58,29.92,17.71,45.8,21.37,17.7,11.601,43.35
254,11.601,20.76,54.35,40.91,16.49,56.79,28.7,20.15,43.96,35.42,28.09,59.24,44.58,29.92,17.71,45.8,21.37,18.31,11.601,43.96,11.601,20.76,54.35,40.91,16.49,56.79,28.7,20.15,43.96,35.42,28.09,59.24,44.58,29.92,17.71,45.8,21.37,18.31,11.601,43.96
255,12.211,20.76,54.35,40.91,15.88,57.4,28.7,20.15,43.35,36.03,28.09,59.24,43.97,29.92,17.71,46.41,21.37,18.31,12.211,43.35,12.211,20.76,54.35,40.91,15.88,57.4,28.7,20.15,43.35,36.03,28.09,59.24,43.97,29.92,17.71,46.41,21.37,18.31,12.211,43.35
256,11.601,21.37,54.35,41.52,15.88,56.79,28.09,19.54,43.35,36.03,28.09,59.85,43.97,29.31,17.1,47.02,21.37,19.54,11.601,43.35,11.601,21.37,54.35,41.52,15.88,56.79,28.09,19.54,43.35,36.03,28.09,59.85,43.97,29.31,17.1,47.02,21.37,19.54,11.601,43.35
257,12.211,21.37,54.96,40.91,15.88,56.79,28.09,20.15,43.35,35.42,28.7,59.85,43.97,29.92,17.71,47.64,21.99,19.54,12.211,43.35,12.211,21.37,54.96,40.91,15.88,56.79,28.09,20.15,43.35,35.42,28.7,59.85,43.97,29.92,17.71,47.64,21.99,19.54,12.211,43.35
258,12.211,21.37,54.35,40.91,15.88,57.4,27.48,20.15,43.35,36.64,27.48,59.85,43.97,29.92,17.1,47.64,21.37,19.54,12.211,43.35,12.211,21.37,54.35,40.91,15.88,57.4,27.48,20.15,43.35,36.64,27.48,59.85,43.97,29.92,17.1,47.64,21.37,19.54,12.211,43.35
259,12.211,21.37,54.35,41.52,16.49,56.79,28.09,20.76,43.96,36.03,28.09,59.24,44.58,29.92,17.1,47.64,21.37,20.15,12.211,43.96,12.211,21.37,54.35,41.52,16.49,56.79,28.09,20.76,43.96,36.03,28.09,59.24,44.58,29.92,17.1,47.64,21.37,20.15,12.211,43.96
260,12.821,21.37,54.96,41.52,16.49,57.4,28.09,20.15,43.96,36.03,28.09,59.24,45.19,29.31,17.1,47.64,21.99,20.15,12.821,43.96,12.821,21.37,54.96,41.52,16.49,57.4,28.09,20.15,43.96,36.03,28.09,59.24,45.19,29.31,17.1,47.64,21.99,20.15,12.821,43.96
261,12.821,20.76,54.96,40.91,16.49,57.4,28.09,20.76,43.96,36.64,28.09,59.24,44.58,29.92,16.49,48.25,21.37,20.15,12.821,43.96,12.821,20.76,54.96,40.91,16.49,57.4,28.09,20.76,43.96,36.64,28.09,59.24,44.58,29.92,16.49,48.25,21.37,20.15,12.821,43.96
262,12.211,21.37,54.96,40.91,16.49,56.79,27.48,21.37,44.57,36.03,27.48,59.24,43.97,29.31,17.1,47.64,21.37,21.37,12.211,44.57,12.211,21.37,54.96,40.91,16.49,56.79,27.48,21.37,44.57,36.03,27.48,59.24,43.97,29.31,17.1,47.64,21.37,21.37,12.211,44.57
263,12.211,21.37,55.57,40.91,17.1,57.4,27.48,20.76,44.57,36.64,28.7,59.24,44.58,29.31,17.1,47.64,20.76,20.76,12.211,44.57,12.211,21.37,55.57,40.91,17.1,57.4,27.48,20.76,44.57,36.64,28.7,59.24,44.58,29.31,17.1,47.64,20.76,20.76,12.211,44.57
264,12.821,20.76,54.96,40.91,17.1,57.4,27.48,21.37,44.57,36.03,28.7,59.24,44.58,29.31,17.1,47.64,21.37,20.76,12.821,44.57,12.821,20.76,54.96,40.91,17.1,57.4,27.48,21.37,44.57,36.03,28.7,59.24,44.58,29.31,17.1,47.64,21.37,20.76,12.821,44.57
265,12.821,21.37,54.96,40.91,17.1,57.4,27.48,21.37,44.57,36.64,28.7,59.24,43.36,29.92,16.49,47.64,21.37,21.37,12.821,44.57,12.821,21.37,54.96,40.91,17.1,57.4,27.48,21.37,44.57,36.64,28.7,59.24,43.36,29.92,16.49,47.64,21.37,21.37,12.821,44.57
266,12.821,21.37,55.57,41.52,17.1,57.4,27.48,21.98,45.18,36.64,28.09,59.24,43.97,29.31,16.49,47.02,21.37,21.37,12.821,45.18,12.821,21.37,55.57,41.52,17.1,57.4,27.48,21.98,45.18,36.64,28.09,59.24,43.97,29.31,16.49,47.02,21.37,21.37,12.821,45.18
267,12.821,21.37,56.18,40.91,17.1,58.01,27.48,21.98,45.18,36.03,27.48,59.24,44.58,29.31,17.1,47.64,21.37,21.37,12.821,45.18,12.821,21.37,56.18,40.91,17.1,58.01,27.48,21.98,45.18,36.03,27.48,59.24,44.58,29.31,17.1,47.64,21.37,21.37,12.821,45.18
268,12.821,21.37,55.57,41.52,17.1,58.01,26.87,21.98,44.57,37.25,28.09,59.85,45.19,29.31,17.1,47.02,20.76,21.98,12.821,44.57,12.821,21.37,55.57,41.52,17.1,58.01,26.87,21.98,44.57,37.25,28.09,59.85,45.19,29.31,17.1,47.02,20.76,21.98,12.821,44.57
269,12.821,21.98,55.57,41.52,17.71,58.01,26.87,21.98,45.18,36.64,28.7,59.24,45.19,29.31,16.49,47.02,21.37,21.37,12.821,45.18,12.821,21.98,55.57,41.52,17.71,58.01,26.87,21.98,45.18,36.64,28.7,59.24,45.19,29.31,16.49,47.02,21.37,21.37,12.821,45.18
270,12.821,21.98,55.57,41.52,17.1,57.4,26.87,22.59,44.57,37.25,28.09,59.85,44.58,29.31,16.49,47.02,20.76,21.98,12.821,44.57,12.821,21.98,55.57,41.52,17.1,57.4,26.87,22.59,44.57,37.25,28.09,59.85,44.58,29.31,16.49,47.02,20.76,21.98,12.821,44.57
271,12.821,21.37,55.57,40.3,18.32,58.01,26.87,23.2,45.79,37.25,28.09,59.85,44.58,29.92,17.1,47.02,21.37,21.98,12.821,45.79,12.821,21.37,55.57,40.3,18.32,58.01,26.87,23.2,45.79,37.25,28.09,59.85,44.58,29.92,17.1,47.02,21.37,21.98,12.821,45.79
272,13.431,21.98,56.18,40.91,17.71,58.01,26.87,22.59,44.57,37.25,28.09,60.46,43.36,29.31,16.49,47.02,21.37,21.98,13.431,44.57,13.431,21.98,56.18,40.91,17.71,58.01,26.87,22.59,44.57,37.25,28.09,60.46,43.36,29.31,16.49,47.02,21.37,21.98,13.431,44.57
273,13.431,21.98,55.57,40.91,17.71,57.4,26.26,22.59,45.79,37.25,28.7,60.46,42.75,29.31,16.49,47.02,21.37,23.2,13.431,45.79,13.431,21.98,55.57,40.91,17.71,57.4,26.26,22.59,45.79,37.25,28.7,60.46,42.75,29.31,16.49,47.02,21.37,23.2,13.431,45.79
274,13.431,21.98,55.57,40.91,18.32,58.01,26.87,22.59,45.79,37.25,28.7,59.85,43.36,29.31,16.49,47.02,21.37,22.59,13.431,45.79,13.431,21.98,55.57,40.91,18.32,58.01,26.87,22.59,45.79,37.25,28.7,59.85,43.36,29.31,16.49,47.02,21.37,22.59,13.431,45.79
275,13.431,21.98,55.57,40.91,18.32,58.63,26.26,22.59,45.18,37.25,28.7,59.85,42.75,29.31,16.49,47.02,21.37,22.59,13.431,45.18,13.431,21.98,55.57,40.91,18.32,58.63,26.26,22.59,45.18,37.25,28.7,59.85,42.75,29.31,16.49,47.02,21.37,22.59,13.431,45.18
276,13.431,21.98,56.18,40.91,17.71,57.4,26.26,22.59,45.79,37.25,28.7,59.85,42.75,29.92,15.88,47.64,21.37,23.2,13.431,45.79,13.431,21.98,56.18,40.91,17.71,57.4,26.26,22.59,45.79,37.25,28.7,59.85,42.75,29.92,15.88,47.64,21.37,23.2,13.431,45.79
277,13.431,21.98,55.57,40.91,18.32,58.63,26.87,23.2,45.79,37.86,28.7,59.85,42.75,29.31,16.49,47.02,21.37,23.2,13.431,45.79,13.431,21.98,55.57,40.91,18.32,58.63,26.87,23.2,45.79,37.86,28.7,59.85,42.75,29.31,16.49,47.02,21.37,23.2,13.431,45.79
278,13.431,21.98,55.57,40.91,18.32,58.01,26.26,21.98,45.79,37.86,28.7,59.85,42.14,29.92,17.1,47.64,21.37,22.59,13.431,45.79,13.431,21.98,55.57,40.91,18.32,58.01,26.26,21.98,45.79,37.86,28.7,59.85,42.14,29.92,17.1,47.64,21.37,22.59,13.431,45.79
279,13.431,21.98,56.18,40.91,18.93,58.01,26.26,23.2,46.4,37.86,28.7,59.85,42.14,29.92,15.88,47.64,21.99,23.2,13.431,46.4,13.431,21.98,56.18,40.91,18.93,58.01,26.26,23.2,46.4,37.86,28.7,59.85,42.14,29.92,15.88,47.64,21.99,23.2,13.431,46.4
280,13.431,22.59,56.18,40.91,18.93,58.63,26.26,22.59,45.79,37.86,28.7,59.24,42.14,29.31,16.49,47.02,21.37,23.81,13.431,45.79,13.431,22.59,56.18,40.91,18.93,58.63,26.26,22.59,45.79,37.86,28.7,59.24,42.14,29.31,16.49,47.02,21.37,23.81,13.431,45.79
281,14.041,21.98,56.18,41.52,18.93,59.24,26.26,23.2,45.79,38.48,28.7,59.85,42.14,29.31,15.88,48.25,22.6,24.42,14.041,45.79,14.041,21.98,56.18,41.52,18.93,59.24,26.26,23.2,45.79,38.48,28.7,59.85,42.14,29.31,15.88,48.25,22.6,24.42,14.041,45.79
282,13.431,22.59,56.18,41.52,18.93,58.01,26.26,23.2,47.02,38.48,28.7,59.85,42.14,28.7,16.49,47.02,21.99,24.42,13.431,47.02,13.431,22.59,56.18,41.52,18.93,58.01,26.26,23.2,47.02,38.48,28.7,59.85,42.14,28.7,16.49,47.02,21.99,24.42,13.431,47.02
283,14.041,23.2,56.18,41.52,18.93,58.63,25.65,23.2,47.02,38.48,28.7,60.46,41.53,29.31,16.49,48.25,21.99,24.42,14.041,47.02,14.041,23.2,56.18,41.52,18.93,58.63,25.65,23.2,47.02,38.48,28.7,60.46,41.53,29.31,16.49,48.25,21.99,24.42,14.041,47.02
284,14.041,23.2,56.18,41.52,19.54,58.01,26.26,22.59,47.02,38.48,29.31,60.46,41.53,29.31,16.49,48.25,22.6,24.42,14.041,47.02,14.041,23.2,56.18,41.52,19.54,58.01,26.26,22.59,47.02,38.48,29.31,60.46,41.53,29.31,16.49,48.25,22.6,24.42,14.041,47.02
285,14.041,23.2,56.18,41.52,19.54,58.01,26.26,23.2,46.4,39.09,28.7,59.85,41.53,29.31,16.49,47.64,21.99,25.03,14.041,46.4,14.041,23.2,56.18,41.52,19.54,58.01,26.26,23.2,46.4,39.09,28.7,59.85,41.53,29.31,16.49,47.64,21.99,25.03,14.041,46.4
286,14.041,23.2,56.18,41.52,19.54,58.63,25.65,23.82,47.02,39.7,28.7,59.85,42.14,28.7,15.88,48.25,21.99,25.03,14.041,47.02,14.041,23.2,56.18,41.52,19.54,58.63,25.65,23.82,47.02,39.7,28.7,59.85,42.14,28.7,15.88,48.25,21.99,25.03,14.041,47.02
287,14.651,23.2,56.18,41.52,20.15,58.01,25.65,23.2,47.02,39.09,28.7,60.46,41.53,29.31,16.49,48.25,21.99,25.03,14.651,47.02,14.651,23.2,56.18,41.52,20.15,58.01,25.65,23.2,47.02,39.09,28.7,60.46,41.53,29.31,16.49,48.25,21.99,25.03,14.651,47.02
288,14.651,23.81,56.79,41.52,20.15,58.63,25.65,23.82,47.02,39.7,29.31,60.46,42.14,29.92,16.49,47.64,22.6,25.03,14.651,47.02,14.651,23.81,56.79,41.52,20.15,58.63,25.65,23.82,47.02,39.7,29.31,60.46,42.14,29.92,16.49,47.64,22.6,25.03,14.651,47.02
289,14.651,23.2,56.79,41.52,20.76,58.63,25.65,24.43,47.63,39.7,28.7,61.07,42.75,30.53,16.49,48.86,23.21,25.03,14.651,47.63,14.651,23.2,56.79,41.52,20.76,58.63,25.65,24.43,47.63,39.7,28.7,61.07,42.75,30.53,16.49,48.86,23.21,25.03,14.651,47.63
290,14.651,23.81,56.79,42.13,20.15,58.63,25.65,24.43,47.63,39.09,29.31,60.46,43.36,31.14,16.49,48.25,23.21,25.03,14.651,47.63,14.651,23.81,56.79,42.13,20.15,58.63,25.65,24.43,47.63,39.09,29.31,60.46,43.36,31.14,16.49,48.25,23.21,25.03,14.651,47.63
291,15.271,24.42,52.52,35.42,20.76,58.01,25.65,25.04,47.63,39.7,28.7,60.46,43.36,29.92,16.49,48.25,22.6,25.03,15.271,47.63,15.271,24.42,52.52,35.42,20.76,58.01,25.65,25.04,47.63,39.7,28.7,60.46,43.36,29.92,16.49,48.25,22.6,25.03,15.271,47.63
292,14.651,25.03,50.69,32.97,20.76,58.63,25.65,24.43,47.63,39.7,29.31,59.85,43.36,30.53,16.49,48.86,23.21,26.25,14.651,47.63,14.651,25.03,50.69,32.97,20.76,58.63,25.65,24.43,47.63,39.7,29.31,59.85,43.36,30.53,16.49,48.86,23.21,26.25,14.651,47.63
293,14.041,23.81,50.69,32.97,20.76,59.24,26.26,25.04,47.63,39.7,29.31,59.85,42.75,29.92,16.49,48.25,23.21,24.42,14.041,47.63,14.041,23.81,50.69,32.97,20.76,59.24,26.26,25.04,47.63,39.7,29.31,59.85,42.75,29.92,16.49,48.25,23.21,24.42,14.041,47.63
294,13.431,23.2,51.3,34.19,20.76,59.24,25.65,25.04,47.63,39.7,29.31,59.85,42.75,31.14,17.1,49.47,23.21,24.42,13.431,47.63,13.431,23.2,51.3,34.19,20.76,59.24,25.65,25.04,47.63,39.7,29.31,59.85,42.75,31.14,17.1,49.47,23.21,24.42,13.431,47.63
295,12.821,23.2,51.3,34.8,21.37,58.63,26.26,25.04,48.24,40.31,29.31,60.46,42.14,31.14,15.88,48.86,23.82,23.81,12.821,48.24,12.821,23.2,51.3,34.8,21.37,58.63,26.26,25.04,48.24,40.31,29.31,60.46,42.14,31.14,15.88,48.86,23.82,23.81,12.821,48.24
296,12.821,22.59,51.91,35.42,20.76,54.96,26.26,25.04,47.63,40.31,29.31,60.46,42.14,31.14,17.1,47.02,21.37,23.81,12.821,47.63,12.821,22.59,51.91,35.42,20.76,54.96,26.26,25.04,47.63,40.31,29.31,60.46,42.14,31.14,17.1,47.02,21.37,23.81,12.821,47.63
297,13.431,22.59,52.52,36.03,17.71,54.35,25.65,25.04,46.4,37.25,31.75,61.07,42.14,30.53,17.1,45.19,21.37,23.2,13.431,46.4,13.431,22.59,52.52,36.03,17.71,54.35,25.65,25.04,46.4,37.25,31.75,61.07,42.14,30.53,17.1,45.19,21.37,23.2,13.431,46.4
298,13.431,21.98,51.91,36.03,16.49,55.57,28.7,27.48,43.96,34.2,32.36,61.07,39.08,27.48,18.93,45.19,21.37,23.2,13.431,43.96,13.431,21.98,51.91,36.03,16.49,55.57,28.7,27.48,43.96,34.2,32.36,61.07,39.08,27.48,18.93,45.19,21.37,23.2,13.431,43.96
299,13.431,21.98,51.91,36.64,15.27,56.18,31.14,29.31,44.57,32.98,32.98,62.29,37.86,25.64,19.54,44.58,20.76,23.2,13.431,44.57,13.431,21.98,51.91,36.64,15.27,56.18,31.14,29.31,44.57,32.98,32.98,62.29,37.86,25.64,19.54,44.58,20.76,23.2,13.431,44.57
300,13.431,21.98,51.3,36.03,15.27,56.18,32.97,31.14,45.18,33.59,32.98,62.9,37.86,25.64,19.54,45.19,21.37,24.42,13.431,45.18,13.431,21.98,51.3,36.03,15.27,56.18,32.97,31.14,45.18,33.59,32.98,62.9,37.86,25.64,19.54,45.19,21.37,24.42,13.431,45.18
301,13.431,21.98,51.3,35.42,15.88,56.79,34.81,32.36,45.79,34.81,32.98,63.51,38.47,26.26,19.54,45.8,21.37,24.42,13.431,45.79,13.431,21.98,51.3,35.42,15.88,56.79,34.81,32.36,45.79,34.81,32.98,63.51,38.47,26.26,19.54,45.8,21.37,24.42,13.431,45.79
302,13.431,20.76,51.3,34.8,15.88,57.4,35.42,32.98,45.79,36.03,32.36,63.51,39.69,25.64,19.54,46.41,21.99,24.42,13.431,45.79,13.431,20.76,51.3,34.8,15.88,57.4,35.42,32.98,45.79,36.03,32.36,63.51,39.69,25.64,19.54,46.41,21.99,24.42,13.431,45.79
303,13.431,21.37,51.3,34.19,15.88,56.79,36.03,34.2,46.4,36.64,32.98,63.51,40.92,26.87,19.54,46.41,21.99,25.03,13.431,46.4,13.431,21.37,51.3,34.19,15.88,56.79,36.03,34.2,46.4,36.64,32.98,63.51,40.92,26.87,19.54,46.41,21.99,25.03,13.431,46.4
304,14.041,21.37,50.69,33.58,15.88,56.79,36.638,34.2,46.4,37.86,32.98,63.51,41.53,27.48,19.54,46.41,22.6,25.03,14.041,46.4,14.041,21.37,50.69,33.58,15.88,56.79,36.638,34.2,46.4,37.86,32.98,63.51,41.53,27.48,19.54,46.41,22.6,25.03,14.041,46.4
305,13.431,21.37,50.69,33.58,15.88,56.79,36.638,34.2,45.79,37.25,32.98,63.51,42.14,28.09,18.93,47.02,22.6,25.03,13.431,45.79,13.431,21.37,50.69,33.58,15.88,56.79,36.638,34.2,45.79,37.25,32.98,63.51,42.14,28.09,18.93,47.02,22.6,25.03,13.431,45.79
306,14.041,20.15,50.69,32.97,16.49,56.18,36.03,33.59,45.79,39.09,32.98,62.9,42.75,28.09,18.32,46.41,22.6,26.25,14.041,45.79,14.041,20.15,50.69,32.97,16.49,56.18,36.03,33.59,45.79,39.09,32.98,62.9,42.75,28.09,18.32,46.41,22.6,26.25,14.041,45.79
307,14.041,20.76,50.08,32.36,16.49,55.57,36.638,32.98,45.18,39.09,32.36,62.9,43.97,29.31,18.32,46.41,23.21,26.25,14.041,45.18,14.041,20.76,50.08,32.36,16.49,55.57,36.638,32.98,45.18,39.09,32.36,62.9,43.97,29.31,18.32,46.41,23.21,26.25,14.041,45.18
308,14.041,20.15,50.08,31.14,16.49,55.57,36.638,32.36,45.18,39.09,32.98,62.29,44.58,29.92,17.71,46.41,23.21,26.86,14.041,45.18,14.041,20.15,50.08,31.14,16.49,55.57,36.638,32.36,45.18,39.09,32.98,62.29,44.58,29.92,17.71,46.41,23.21,26.86,14.041,45.18
309,14.041,20.15,49.47,30.53,16.49,55.57,36.03,30.53,45.18,39.7,31.75,61.68,45.19,29.92,17.1,45.19,23.21,26.86,14.041,45.18,14.041,20.15,49.47,30.53,16.49,55.57,36.03,30.53,45.18,39.7,31.75,61.68,45.19,29.92,17.1,45.19,23.21,26.86,14.041,45.18
310,14.651,20.76,50.08,31.14,17.1,54.35,34.81,29.92,43.96,40.31,31.75,60.46,45.8,31.14,16.49,45.19,23.21,26.86,14.651,43.96,14.651,20.76,50.08,31.14,17.1,54.35,34.81,29.92,43.96,40.31,31.75,60.46,45.8,31.14,16.49,45.19,23.21,26.86,14.651,43.96
311,14.651,20.76,50.08,30.53,16.49,54.35,34.81,28.09,43.96,40.31,31.14,59.85,45.8,31.75,15.88,44.58,23.21,25.64,14.651,43.96,14.651,20.76,50.08,30.53,16.49,54.35,34.81,28.09,43.96,40.31,31.14,59.85,45.8,31.75,15.88,44.58,23.21,25.64,14.651,43.96
312,15.271,20.76,50.08,29.92,16.49,54.35,33.58,26.87,43.35,40.31,31.14,59.24,47.02,32.36,15.27,43.36,22.6,25.64,15.271,43.35,15.271,20.76,50.08,29.92,16.49,54.35,33.58,26.87,43.35,40.31,31.14,59.24,47.02,32.36,15.27,43.36,22.6,25.64,15.271,43.35
313,15.271,20.76,50.08,29.31,16.49,53.13,32.36,25.65,43.35,40.92,31.14,58.01,47.02,32.36,14.66,43.36,22.6,25.64,15.271,43.35,15.271,20.76,50.08,29.31,16.49,53.13,32.36,25.65,43.35,40.92,31.14,58.01,47.02,32.36,14.66,43.36,22.6,25.64,15.271,43.35
314,15.271,20.76,49.47,28.7,16.49,53.13,31.14,25.04,43.35,40.92,30.53,57.4,47.02,32.36,13.44,42.14,21.99,26.25,15.271,43.35,15.271,20.76,49.47,28.7,16.49,53.13,31.14,25.04,43.35,40.92,30.53,57.4,47.02,32.36,13.44,42.14,21.99,26.25,15.271,43.35
315,14.651,20.76,50.08,28.7,16.49,52.52,30.53,23.2,43.35,40.92,31.14,56.18,46.41,32.97,13.44,41.53,21.37,25.64,14.651,43.35,14.651,20.76,50.08,28.7,16.49,52.52,30.53,23.2,43.35,40.92,31.14,56.18,46.41,32.97,13.44,41.53,21.37,25.64,14.651,43.35
316,15.271,20.76,50.69,28.09,16.49,51.91,29.92,21.98,42.74,40.92,30.53,56.18,47.02,32.97,12.83,40.31,21.37,25.64,15.271,42.74,15.271,20.76,50.69,28.09,16.49,51.91,29.92,21.98,42.74,40.92,30.53,56.18,47.02,32.97,12.83,40.31,21.37,25.64,15.271,42.74
317,15.881,20.76,49.47,27.48,16.49,52.52,28.09,20.76,42.13,40.92,29.92,54.96,47.02,33.58,12.22,40.31,21.37,25.03,15.881,42.13,15.881,20.76,49.47,27.48,16.49,52.52,28.09,20.76,42.13,40.92,29.92,54.96,47.02,33.58,12.22,40.31,21.37,25.03,15.881,42.13
318,15.881,20.76,49.47,27.48,16.49,51.91,26.87,19.54,42.13,40.92,29.92,54.35,47.02,33.58,11.61,39.09,20.76,25.03,15.881,42.13,15.881,20.76,49.47,27.48,16.49,51.91,26.87,19.54,42.13,40.92,29.92,54.35,47.02,33.58,11.61,39.09,20.76,25.03,15.881,42.13
