,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM
17,0,3.66,-13.43,-4.28,-3.66,-6.71,-8.55,-12.21,-1.23,2.45,-3.05,-1.83,-11.6,-2.45,-4.27,0,-0.61,-1.84,0,-1.23,0,3.66,-13.43,-4.28,-3.66,-6.71,-8.55,-12.21,-1.23,2.45,-3.05,-1.83,-11.6,-2.45,-4.27,0,-0.61,-1.84,0,-1.23
18,0.611,4.27,-11.6,-2.44,-4.27,-6.71,-7.94,-12.21,-1.23,2.45,-2.44,-1.22,-11.6,-2.45,-3.66,-0.61,-1.22,-1.23,0.611,-1.23,0.611,4.27,-11.6,-2.44,-4.27,-6.71,-7.94,-12.21,-1.23,2.45,-2.44,-1.22,-11.6,-2.45,-3.66,-0.61,-1.22,-1.23,0.611,-1.23
19,1.222,4.88,-10.38,-1.22,-3.66,-6.1,-8.55,-11.6,-0.62,3.06,-2.44,-0.61,-12.82,-1.83,-4.27,0,-0.61,-0.62,1.222,-0.62,1.222,4.88,-10.38,-1.22,-3.66,-6.1,-8.55,-11.6,-0.62,3.06,-2.44,-0.61,-12.82,-1.83,-4.27,0,-0.61,-0.62,1.222,-0.62
20,1.832,5.49,-8.55,0.61,-3.66,-5.49,-7.94,-11.6,-0.62,3.06,-1.83,0,-12.82,-1.83,-3.66,0,0,0,1.832,-0.62,1.832,5.49,-8.55,0.61,-3.66,-5.49,-7.94,-11.6,-0.62,3.06,-1.83,0,-12.82,-1.83,-3.66,0,0,0,1.832,-0.62
21,2.443,5.49,-7.32,3.05,-3.66,-4.27,-8.55,-11.6,0,3.67,-1.83,0.61,-12.82,-1.22,-3.66,0,-0.61,0.61,2.443,0,2.443,5.49,-7.32,3.05,-3.66,-4.27,-8.55,-11.6,0,3.67,-1.83,0.61,-12.82,-1.22,-3.66,0,-0.61,0.61,2.443,0
22,2.443,6.71,-5.49,4.88,-3.05,-3.05,-7.94,-10.38,0.61,3.06,-1.22,1.22,-12.82,-0.61,-3.66,0.62,-0.61,0.61,2.443,0.61,2.443,6.71,-5.49,4.88,-3.05,-3.05,-7.94,-10.38,0.61,3.06,-1.22,1.22,-12.82,-0.61,-3.66,0.62,-0.61,0.61,2.443,0.61
23,3.661,6.1,-4.27,6.71,-3.05,-1.83,-7.33,-10.38,0.61,3.67,-0.61,2.45,-12.82,0,-3.05,0.62,0,0.61,3.661,0.61,3.661,6.1,-4.27,6.71,-3.05,-1.83,-7.33,-10.38,0.61,3.67,-0.61,2.45,-12.82,0,-3.05,0.62,0,0.61,3.661,0.61
24,4.271,6.71,-1.83,8.55,-3.05,-0.61,-7.33,-10.38,1.83,3.67,-0.61,3.06,-11.6,0,-2.44,0.62,0,1.83,4.271,1.83,4.271,6.71,-1.83,8.55,-3.05,-0.61,-7.33,-10.38,1.83,3.67,-0.61,3.06,-11.6,0,-2.44,0.62,0,1.83,4.271,1.83
25,4.881,7.32,0,10.989,-2.44,1.22,-7.33,-9.77,2.44,3.67,0,4.28,-11.6,1.22,-1.22,1.23,0,2.44,4.881,2.44,4.881,7.32,0,10.989,-2.44,1.22,-7.33,-9.77,2.44,3.67,0,4.28,-11.6,1.22,-1.22,1.23,0,2.44,4.881,2.44
26,6.111,7.94,1.84,13.432,-1.83,3.67,-7.33,-9.16,2.44,3.67,-0.61,4.89,-10.38,2.44,-1.22,1.23,0.61,3.05,6.111,2.44,6.111,7.94,1.84,13.432,-1.83,3.67,-7.33,-9.16,2.44,3.67,-0.61,4.89,-10.38,2.44,-1.22,1.23,0.61,3.05,6.111,2.44
